,Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders,Winner
14258,rQIa13K7,2429,2475,E62,14,51,3,2,3,39,4,3,2,Black
14259,aDysf2mT,2482,2446,C07,7,36,1,5,1,21,4,2,1,Black
14260,FW5xx9Sq,2537,2487,E46,9,29,0,1,1,50,1,2,1,White
14261,wYmZk20A,2492,2527,C07,7,72,3,4,3,57,5,2,2,Black
14262,XvYglyHo,2497,2486,B40,5,43,3,5,2,43,4,2,4,Black
14263,Cihlp9nc,2480,2449,C07,7,50,4,2,2,72,5,2,4,White
14264,gY63YqrK,2529,2474,B43,10,79,5,2,1,37,3,0,0,Black
14265,xrjDBMuN,2433,2480,B21,5,28,4,0,0,48,2,2,1,White
14266,Nt000HJD,2485,2521,C77,9,78,3,2,2,53,1,3,2,Black
14267,6PeERGIk,2052,2086,C90,17,29,6,2,0,51,8,2,3,Black
14268,DpDsdC5O,2056,2055,E34,8,35,6,0,3,54,10,1,3,White
14269,zXk8NUHE,1840,1816,B00,4,109,9,3,4,110,2,3,4,White
14270,Np8PFPCh,1892,1820,B32,6,163,5,2,9,190,6,4,12,White
14271,LlsxywF4,1830,1664,E90,11,28,1,1,0,41,4,0,0,Draw
14272,edv66CAS,1940,2022,A00,1,50,7,3,5,66,3,5,7,White
14273,3c8HfBIA,2058,2077,C46,5,20,2,0,0,47,1,0,1,White
14274,5IV28PNB,1477,2047,D00,3,43,5,0,1,4,0,0,0,Black
14275,4KTIhPsC,1906,1899,C44,7,47,4,0,1,13,1,0,0,Black
14276,csSaFHHg,1500,1792,C41,7,6,2,0,0,21,3,1,0,White
14277,S12Eaa9L,1128,1211,D00,3,29,7,0,1,60,9,0,2,White
14278,0QaddE9t,1923,1912,A57,6,71,2,0,3,30,1,1,0,Black
14279,xxUsB5b2,1892,1910,D00,3,66,5,5,6,48,3,6,5,Black
14280,8WlIu0qV,1904,1910,A45,2,53,4,0,3,57,5,3,3,Draw
14281,nVmf1BWd,1801,1885,C02,8,84,1,1,1,51,0,0,1,Black
14282,9DbNJTkh,1871,1838,D51,9,12,1,0,0,40,1,2,1,White
14283,r02fDrcy,1874,1820,A65,11,19,5,1,1,18,0,0,2,Draw
14284,T62aSLHx,2567,2610,A57,13,48,3,0,1,35,0,1,0,Black
14285,wU0b1fRR,2558,2577,B20,2,17,2,0,0,50,2,1,2,White
14286,KfhKlmE7,2589,2486,B12,6,58,2,2,1,31,0,1,1,Black
14287,mmFgZoUp,2385,2604,B48,11,25,4,0,2,42,3,1,4,White
14288,en5aJZnq,2599,2453,B01,4,31,2,3,2,52,6,4,1,White
