White Rating,Black Rating,accdiff,misdiff,blundiff,Winner
1574,2133,-10,0,0,White
1556,1563,-1,-2,-1,White
2353,2054,3,0,1,Black
1979,2353,2,3,0,Black
2044,2346,5,2,-1,Black
2303,2322,-1,2,3,Black
2295,2305,-2,-1,-1,White
2333,2042,-4,0,-1,White
2455,2483,-4,2,0,White
2621,2459,0,-3,2,White
2462,2661,0,0,2,Black
2468,2455,-3,1,3,Black
2462,2496,-3,1,-2,White
2464,2648,1,2,-2,Draw
2514,2456,-2,2,1,Black
2454,2512,-3,3,-2,White
1348,1482,0,-1,0,White
1482,1603,-1,1,2,Black
1998,2020,0,-2,-2,White
1545,1996,3,3,-2,Black
1980,1969,-6,-2,-1,White
1896,1971,3,-2,1,Black
2004,1981,-1,-1,-2,White
1986,2194,2,0,1,Black
2021,1974,5,3,0,Black
1915,1922,-1,0,2,White
1871,1928,2,5,-1,Black
1868,1974,0,0,0,Black
1854,1947,2,-4,-1,White
1220,1215,-1,1,0,White
1500,1503,1,-1,-1,White
1899,1891,0,-2,0,Black
1925,1909,3,3,-3,White
1857,1898,6,0,-1,Black
1895,1885,2,0,1,Black
1872,1880,3,2,-3,White
1859,1827,-3,0,0,White
1845,1866,-2,0,-1,White
1853,1992,1,1,1,Black
1574,1784,2,-1,1,Black
1712,1672,-1,-2,-2,White
1644,1640,3,1,1,Black
1509,1474,0,-1,-2,White
1740,1699,1,-3,-1,White
1746,1673,2,1,1,Black
1281,1487,1,-1,-3,White
1787,1680,-1,0,1,Black
1893,1766,3,-5,-1,White
1789,1775,0,0,0,White
1968,1909,0,1,-1,White
1940,1896,-2,0,0,White
1955,1883,1,-2,2,Black
1224,1347,4,-3,2,Black
2003,1792,0,2,-2,White
1792,2091,2,1,1,Black
1792,1903,2,0,1,Black
1792,2240,3,3,0,Black
1773,1675,-4,0,-2,White
1921,1875,-4,-1,-1,White
1797,1913,2,0,2,Black
2246,1918,2,0,-1,White
1775,1797,-3,0,-1,White
1722,1733,3,1,0,Black
1718,1399,-5,0,0,White
1386,1679,1,0,2,Black
1584,1506,-2,1,-1,White
1369,1542,3,1,1,Black
1488,1465,2,-2,-2,White
1458,1313,-3,0,-2,White
1621,1684,0,0,1,Black
1653,1385,-3,1,1,Black
1698,1739,-1,0,1,White
1719,1799,-5,1,4,Black
1847,1705,3,1,1,Black
1801,1766,1,-1,-2,White
1773,1768,2,1,0,White
1876,1775,1,-1,1,Black
1611,1874,-1,2,0,Black
1356,1299,-1,0,0,White
1897,1866,-5,1,-1,White
1862,1843,0,2,0,Black
1706,1812,-4,1,-1,White
1688,1776,-1,0,-2,White
1894,1806,-2,3,-1,White
1736,1778,3,1,0,Black
1701,1744,-3,0,0,White
1795,1750,4,-3,-2,White
1684,1693,1,2,-1,Draw
1827,1701,-2,1,-2,White
1852,1863,-1,2,-1,White
1855,1865,1,-1,-3,White
1768,1744,-2,1,-3,White
1868,1768,-1,-2,0,White
1728,1736,3,-1,1,Black
1686,1864,-1,1,-1,White
1374,1676,4,1,1,Black
1776,1617,0,-1,2,Black
1585,1569,2,1,1,Black
1087,1090,0,1,-3,White
1396,1422,3,0,1,Black
1448,1466,-1,1,2,Black
1443,1871,1,1,1,Black
1767,1720,0,2,-4,White
1768,1766,2,-2,0,Black
1528,1261,-3,-3,0,White
1658,1309,0,1,-1,White
1345,1676,1,0,2,Black
1500,1503,-2,-6,-1,White
1676,1576,5,-2,0,Black
2193,2153,-1,1,2,Black
2177,2158,0,-1,-2,White
2153,2073,2,-1,-2,White
2151,2147,2,0,1,Black
2153,2155,2,-1,1,Black
2148,2120,-2,-1,-1,White
2029,2155,-1,-1,0,White
2149,2153,-3,0,-1,White
2142,2221,-1,0,-1,White
2179,2147,-4,1,-2,White
1932,1977,-2,-1,-1,White
1958,1992,2,0,1,Black
1994,1944,4,0,0,Black
2022,1965,-2,-1,-1,White
2066,1972,-3,-3,1,White
1916,1930,-3,0,1,Black
1721,1916,-3,-2,-1,White
1918,1904,1,1,1,Black
1891,1930,-1,0,-1,White
1942,1877,6,3,0,Black
1551,1552,6,3,0,Black
1050,1443,1,0,2,Black
1711,1673,0,-1,1,Black
1638,1619,-1,1,-2,Black
1516,1504,-1,-1,-1,White
1831,1740,2,0,1,Black
1203,1830,1,3,0,Black
1866,1500,0,0,0,Black
2499,2382,-1,0,-1,White
2337,2494,1,-1,1,Black
2632,2494,1,0,-2,White
2504,2470,2,-1,1,Black
2418,2507,6,-3,1,Draw
2481,2497,-1,0,0,Black
1555,1712,-1,-2,0,White
1339,1393,3,0,-2,White
1303,1044,-3,-1,0,White
1427,1183,2,1,1,Black
1630,1397,1,1,1,Black
1539,1360,2,-9,3,White
1500,1043,-1,-1,1,White
1598,1396,-1,-1,-1,White
1211,1412,0,-1,-2,White
1429,1194,-2,0,2,Black
1645,1343,-4,1,1,Black
1323,1403,2,-3,1,Black
1264,1313,1,0,1,Black
1304,1443,3,-2,1,Black
1266,1190,-2,1,-1,White
1160,1343,0,0,-1,White
1481,1561,2,0,-2,Black
1991,1899,-5,4,-2,White
1982,1923,-1,-1,2,Black
1925,1939,0,-1,1,Black
1819,1939,1,-1,-1,White
1816,1841,4,-1,1,Black
1948,1840,0,2,1,Black
1863,1822,1,1,1,Black
1699,1816,-1,2,2,Black
1771,1749,2,-2,1,Black
1322,1227,0,1,-2,White
1361,1331,1,-4,-1,White
1321,1342,0,1,-2,White
1333,1282,-2,1,-1,White
1272,1346,-4,0,-1,White
1328,1252,0,0,0,White
1808,1752,0,0,1,Black
1631,1500,0,1,1,Black
1780,1819,2,1,1,Black
2214,2217,-4,1,-2,White
2167,2231,-8,2,-3,White
2213,2378,0,-1,-1,White
2133,2201,1,2,0,Black
2243,2187,-1,0,1,Black
2199,2203,0,1,1,Black
2064,2190,-3,-2,0,Black
1824,1827,3,-1,0,Black
1387,1580,5,-3,2,Black
2043,2176,0,0,1,Black
1701,2064,1,2,1,Black
1717,1611,0,1,-1,Black
1461,1474,5,1,0,Black
1627,1641,2,0,2,Black
1323,1627,-3,-1,-1,White
1985,1602,1,0,1,Black
1926,1609,-3,0,-1,White
1363,1195,0,0,1,Black
1556,1535,0,-4,1,White
1536,1517,0,0,0,Draw
1487,1517,2,0,1,Black
1531,1517,-2,0,-1,White
1568,1526,-2,-1,-1,White
1595,1535,0,0,0,White
1677,1712,-1,0,1,Black
1334,1284,-2,0,-1,White
1295,1215,4,-1,2,Black
1999,1979,2,1,-3,White
1641,1590,-2,-2,-1,White
1940,1915,1,1,2,Black
1908,1947,0,-1,1,White
1775,1900,1,1,2,Black
1794,1861,-3,2,-3,White
1194,1500,3,2,1,Black
1500,998,-2,-2,0,White
1500,1024,0,-5,1,White
1500,1396,-3,0,-2,White
1647,1883,-4,-1,0,White
2154,1836,0,2,0,Black
2153,1462,-1,2,0,White
2165,2133,0,-1,2,Black
2285,1972,-3,-2,0,White
1265,1636,-2,-1,0,White
1266,1794,-1,0,1,Black
1234,2213,4,0,1,Black
2180,2222,-10,0,1,White
2228,2224,2,4,0,Black
2132,2223,-2,-2,4,Black
2218,2216,1,-1,-1,White
2223,2234,2,-1,1,Black
2213,2229,1,1,-2,White
2229,2270,-1,1,-1,Draw
2339,2233,2,-2,1,White
2121,2223,2,0,1,Black
2002,1935,1,-1,-1,White
1935,1935,-1,2,0,Draw
1909,1942,1,0,-2,White
1943,1941,-4,-2,-1,White
1933,2019,-1,-3,0,White
1916,1926,1,1,0,Black
1922,1806,-2,2,-2,White
1958,1928,-3,-2,-1,White
1977,1846,-1,0,-1,White
1864,1845,0,-1,3,Black
1838,1838,0,5,-2,Black
1917,1829,0,0,1,Black
1820,1891,1,0,0,White
1871,1809,1,2,-2,Black
1498,1503,2,-1,1,Black
1528,1502,-2,0,-2,White
1496,1482,-4,0,1,White
1332,1766,2,0,-1,Black
1654,1672,0,-1,-1,White
1590,1614,1,1,-2,White
1944,1856,0,-2,1,Black
1933,1928,0,2,2,Black
1919,1775,1,1,-3,White
1884,1936,0,-1,-1,White
1920,1930,2,1,-2,White
1922,1936,0,0,-1,White
1923,1824,-1,1,0,White
1884,1908,2,2,-1,Black
1928,1842,2,2,1,Black
1871,1912,0,1,1,Black
2041,1811,-2,0,-1,White
2224,2088,3,-3,-1,White
2088,1263,1,-2,-1,White
1421,1354,0,-2,2,Black
1758,1421,0,-2,3,Black
1784,1442,2,0,1,Black
2277,2117,3,0,1,Black
2126,2117,2,-1,0,Draw
2112,2077,0,0,1,White
2077,2112,0,0,2,Black
2071,2008,-2,-2,0,White
1877,1992,4,0,3,Black
1944,2007,3,1,0,Black
1994,2030,1,0,-2,White
1916,1863,2,-2,-2,White
1789,1725,-4,-2,0,White
1728,1028,1,0,-1,Draw
2222,2221,-1,-2,0,Black
2246,2184,3,-3,0,Black
2217,2037,-1,1,2,Black
2027,2008,-4,-2,0,White
2021,1823,3,-1,-3,White
2023,2032,-4,1,0,White
1927,2024,3,4,0,Black
2039,1913,0,0,1,Black
1920,2031,0,0,1,Black
2048,1848,-4,1,4,Black
2160,2056,2,0,0,White
2068,2042,2,1,2,Black
1154,1374,-1,2,-1,Black
1670,1678,-2,0,0,White
1692,1693,-7,0,1,Black
2286,2036,1,0,-1,White
2069,2028,-4,4,0,Draw
1471,1475,-1,1,-1,White
1471,1383,-1,-1,3,Black
2370,2222,-7,-1,0,White
2176,2367,-1,0,2,Black
1565,1567,-1,1,2,Black
1217,1234,2,-1,1,White
1805,1869,-4,1,0,White
1813,1850,4,-1,2,Black
1842,1823,-3,-1,-1,White
1485,1635,1,1,1,Black
1598,1620,0,0,-2,White
1585,1660,-1,1,-1,White
1992,1992,1,-2,0,White
1980,2002,0,2,2,Black
1612,1842,1,1,1,Black
1734,1836,-3,-2,0,White
1862,1792,-1,0,2,Black
1929,1833,0,-1,-1,White
1981,1943,-1,0,-1,White
1942,1982,6,-2,0,Draw
1940,1953,-1,1,0,White
1825,1874,3,0,1,Black
1826,1926,0,2,1,Black
1027,1033,2,0,1,Black
1144,1028,-1,-1,-1,White
1469,1485,1,-1,1,Black
1472,1577,-2,2,0,Draw
1516,1477,-2,0,-1,White
2136,1797,-4,-4,3,Black
1500,1797,-3,0,-1,White
1826,1813,-7,2,-1,White
1974,1959,-1,-1,0,White
1956,1930,-2,1,-2,White
2265,1917,2,0,-1,White
1909,1947,-3,1,-1,White
1947,2037,3,0,0,Black
2271,2353,0,-2,-1,White
2515,2336,1,-1,0,Draw
1846,1812,3,2,1,Black
1833,1794,2,0,0,Black
1234,1247,3,-1,-2,White
1834,1698,-5,-1,-1,White
1859,1834,0,1,0,White
1671,1665,3,2,1,Black
1695,1642,0,2,2,Black
1702,1724,1,1,-4,White
1244,1238,0,1,4,Black
1804,1872,1,1,0,Black
1749,1774,0,-1,1,White
1726,1689,2,0,-1,White
1706,1616,-1,2,-3,White
1678,1704,3,-3,1,White
1724,1724,-2,-4,-1,White
1758,1744,0,1,-1,White
1748,1682,0,-2,0,Draw
1483,1757,-3,1,1,Black
1952,1922,2,-1,1,Black
1540,1568,4,-1,1,White
1574,1577,0,0,-1,Black
1856,1865,-2,2,-1,White
1708,1727,0,-1,-1,White
1270,1343,1,1,1,White
1342,1478,0,0,1,Black
1866,1801,-1,1,0,Black
1729,1689,3,0,1,Black
2026,1900,-1,0,2,Black
2094,2241,1,-1,2,Black
1917,2257,-3,4,0,Black
1863,1880,0,0,0,Draw
1856,2376,2,3,0,Black
1729,1795,0,0,-2,White
1714,1494,1,0,-1,White
2024,2505,3,0,1,Black
2060,2503,-2,1,1,Black
2500,2061,-2,-1,-1,White
2494,2238,-4,-1,0,White
2481,2230,4,0,-3,White
2236,2474,0,1,2,Black
1890,1971,1,-2,1,Black
1888,1693,-2,1,-1,Black
1946,1901,-4,-3,1,White
1879,1886,0,1,1,Black
1959,1853,-1,1,2,Black
1844,1678,-1,-1,-1,White
1396,1681,3,1,0,White
1630,1509,-1,1,1,Black
1478,1477,0,1,-2,White
1409,1522,-2,0,-1,White
1331,1377,0,1,2,Black
1355,1413,1,2,0,White
1507,1390,1,-1,-2,White
1497,1423,1,-2,1,White
1410,1442,0,0,-1,White
1966,1838,-1,0,0,Black
1617,1606,1,-4,-1,White
1955,1987,6,1,0,Black
1659,1616,-1,0,1,Black
1905,1610,-4,1,-2,White
1544,1583,-1,0,3,Black
1926,1606,4,0,-1,White
1164,1631,1,0,2,Black
1500,1713,-3,0,-2,White
1464,1373,2,1,1,Black
2095,2217,-1,-1,0,White
2080,2084,2,0,1,Black
2082,2072,1,0,1,Black
2018,2062,1,0,1,Black
2023,2051,1,2,1,Black
2081,1987,0,0,0,Black
2056,2083,-1,-1,2,Black
1327,1322,-1,0,-1,White
2144,2015,-4,0,4,Black
2049,2019,2,0,-3,White
2032,1855,-1,3,1,Black
2020,2021,-2,0,1,Black
1993,2015,1,-1,1,Black
1665,1208,-3,1,0,White
1359,1789,-1,1,2,Black
1471,1785,3,1,1,Black
2308,2271,0,1,-2,White
2330,2310,3,0,-4,White
2317,2384,1,0,0,Black
2191,2311,-2,1,2,Black
2245,2303,1,-3,2,Black
1716,1687,-5,0,-1,White
1711,1637,-3,1,1,Black
1711,1780,3,0,1,Black
1556,1756,-1,-1,-1,Black
1737,1683,-2,-1,-1,White
1732,1427,0,-2,-2,White
1617,1653,0,-1,2,Black
1569,1678,-2,2,-2,White
1719,1684,1,0,0,White
1975,1995,1,-3,3,Black
2066,1984,-2,3,2,Black
1973,2040,0,1,-3,White
1992,2061,1,1,1,Black
2000,2043,2,0,2,Black
1979,1990,1,2,0,Black
1999,2051,1,0,0,Black
2057,1986,0,-1,1,Black
1136,963,-4,2,0,Black
1013,1089,1,1,-3,Black
1074,1026,2,-1,0,White
1052,1358,1,-1,1,Black
1726,1777,1,-1,2,Black
1387,1425,-1,1,-2,Black
1393,1395,1,0,-2,White
1717,1641,-6,-3,3,Black
1631,1628,-1,0,0,White
1608,1482,-1,0,-1,White
1889,1662,0,0,-1,White
1743,1586,1,2,1,Black
1487,1564,3,-1,1,Black
2045,2405,-2,-2,-1,White
2261,2414,-1,1,-2,White
1946,2410,-1,2,1,Black
1926,1936,0,0,-1,White
1910,1938,0,-2,-1,White
1848,1930,-2,2,2,Black
1922,1808,0,-1,-1,White
1913,1970,-3,-2,0,White
1907,1804,-1,1,-3,White
1910,1899,3,-2,-2,Black
1864,1891,2,0,0,Black
1886,1769,-5,0,0,White
1818,1879,-2,0,-1,Black
1786,1811,1,1,2,Black
1792,1807,1,2,1,Black
1679,1643,-1,0,2,Black
1510,1544,2,1,1,Black
1499,1458,1,-2,-4,White
1574,1634,3,1,2,Black
1427,1432,-1,2,0,Black
1409,1440,-3,3,-2,White
1435,1167,-1,2,-5,White
1424,1288,-6,4,-2,White
1500,1414,4,-3,1,Black
1436,1482,0,2,0,Black
1497,1631,1,0,2,Black
1514,1551,1,0,0,Black
1522,1631,-1,0,1,Black
1883,2093,1,3,0,Black
1567,1318,-3,0,-1,White
1329,1716,4,1,1,Black
1738,1822,4,0,0,Black
1807,1850,-1,0,0,White
1906,1721,-2,0,2,Black
1607,1902,8,1,0,Black
1897,1670,1,-2,0,White
1893,1637,3,1,-1,White
1885,1770,1,1,-2,White
1885,1994,-1,-1,-1,White
1490,1778,-2,4,1,Black
1539,1428,1,4,1,Black
1965,2054,1,-1,2,Black
2048,2062,0,1,-1,White
2039,2042,0,-1,0,Black
1959,2053,1,-4,1,Black
1907,2061,-2,-3,0,White
1979,1988,0,0,0,Draw
1807,1500,-3,2,1,Black
1762,1665,1,2,-3,White
2004,1925,-5,-2,-1,White
1963,1874,1,0,3,Black
1534,1663,-1,2,1,Black
1551,1583,6,-1,2,Black
1978,1733,1,2,0,Black
1747,1521,-1,1,-1,White
2191,2049,-2,-3,-1,White
1934,1978,4,1,2,Black
1570,1650,6,-3,2,Black
1692,1572,0,0,2,Black
1665,1580,0,1,-1,White
1575,1717,3,2,0,Black
1774,1666,3,2,0,Draw
1888,2155,1,0,0,Black
2261,2203,-2,3,-2,White
2241,2180,1,2,-3,White
942,1819,-1,1,2,Black
1488,1816,1,-1,1,Black
1910,1782,4,2,1,Black
1478,1531,3,2,0,Black
2436,2388,4,0,1,Black
2363,2462,0,-2,0,White
2351,2223,-5,0,-1,White
2508,2307,1,-4,0,White
2272,2517,1,-2,-1,White
2514,2281,0,1,-1,White
2216,2013,4,1,0,Black
2031,2162,-4,2,5,Black
2314,1849,-5,0,0,White
1849,2314,4,0,1,Black
1812,1849,2,-5,0,White
1802,1840,2,2,1,Black
1830,1812,-1,0,-2,White
1942,1837,0,1,-4,White
1926,1824,2,1,2,Black
1510,1537,-1,1,2,Black
1990,1915,-4,4,-1,Draw
1648,1987,1,-1,0,Black
1777,2005,-2,0,-2,White
1995,1966,-1,0,-1,White
1980,2052,-4,-4,3,White
1975,1752,-3,1,-2,White
2181,1956,2,0,2,Black
2017,1857,-5,-2,0,White
2137,1858,1,-1,-2,White
1832,2576,0,1,-1,White
2491,2428,2,1,1,Black
2489,2241,-1,0,-1,White
2107,2488,1,3,0,Black
2486,2163,-1,-1,-1,White
2554,2477,1,2,1,Black
1944,2476,3,1,1,Black
1770,2476,2,0,1,Black
2475,1898,0,0,-1,White
2474,2111,-3,0,-1,White
1279,1271,1,-5,2,Black
1597,1583,0,-1,-2,White
1785,1434,3,-2,-1,White
1211,1753,1,-2,2,Black
1748,1160,-2,-1,0,White
1567,1852,0,1,1,Black
1846,1044,-2,0,-2,White
1801,1297,-3,-2,-1,White
1473,1395,1,-3,-1,White
1492,1444,-3,-1,-1,White
1456,1475,0,-2,0,White
1483,1411,-1,-1,1,Black
1448,1464,1,-1,1,Black
1502,1388,-2,1,-1,Black
1432,1460,-4,2,1,Black
2039,2163,-9,-1,1,Draw
2048,2154,0,3,-1,Black
2197,2133,2,-1,-1,White
2074,2137,-4,-1,2,Black
2125,2059,-2,1,0,Black
1325,1342,2,-1,1,Black
1904,1892,-1,0,-2,White
1810,1855,-2,1,2,Black
1829,1800,0,-1,-2,White
1749,1806,-1,-1,0,Black
1803,1835,-3,0,4,Black
1318,1609,2,1,1,Black
1500,1306,-1,0,-1,White
2022,1976,-1,1,2,Black
2019,1945,2,1,1,Black
1873,1890,-3,-1,-1,White
1803,1907,-2,0,2,White
1357,1289,2,-1,0,Black
1831,1707,-1,2,1,Black
1686,1697,4,1,1,Black
1609,2109,-2,-3,-1,White
1562,1584,4,1,1,Black
1799,1601,2,0,0,White
1549,1317,0,0,-3,White
1977,1976,0,3,1,Black
2009,1967,-7,0,1,White
1826,1929,-4,0,0,Draw
1815,1814,-2,-2,-1,White
1463,1100,1,-2,-1,Black
1620,1459,-3,-1,-1,White
1559,1446,4,1,1,Black
1894,1904,-1,-4,0,White
1818,1834,0,0,-1,Black
1845,1899,2,0,3,Black
1868,1889,4,-1,1,Black
1965,1874,-1,1,-3,White
1985,1870,2,-1,0,Black
1933,1835,7,1,-1,Draw
1808,1804,-3,-1,-1,White
1826,1948,3,0,1,Black
2115,2065,1,3,0,Black
2051,2127,-1,0,-1,White
2040,2020,-3,0,-1,White
2049,2028,0,3,0,Black
1985,2018,1,1,1,Black
1416,1447,0,4,-1,Black
1460,1361,-5,-1,-2,White
1094,1367,-1,0,1,Black
1380,1426,3,0,2,Black
1429,1438,3,1,1,Black
1500,1553,-3,0,0,White
1580,1596,-1,1,2,Black
1567,1558,-5,1,-1,White
1569,1532,0,2,1,Black
1545,1566,-1,0,-1,White
1514,1654,-2,3,-1,White
2167,1933,4,2,0,Black
1673,2167,2,0,2,Black
2167,1673,-1,0,-2,White
2143,2352,-2,-2,-1,White
2346,2149,-4,0,-2,White
2147,1719,-2,0,-1,White
2130,2303,-4,0,-2,White
2067,2092,5,0,1,Black
1407,1419,1,1,1,Black
2197,2266,1,0,-1,White
2201,2226,1,1,0,Black
2203,2500,0,1,1,Black
2223,2199,0,1,1,Black
2202,2413,2,-2,2,Black
2408,2433,-2,0,0,White
2287,2403,-4,0,2,Black
2516,2408,-1,-1,0,White
2399,2484,5,0,-2,Draw
2389,2328,0,-1,-1,White
2284,2380,3,1,2,Black
1631,1727,1,0,-2,White
1769,1625,1,0,1,Draw
1610,1576,0,1,-1,White
1577,1629,0,0,1,White
1829,1601,0,1,1,Black
2001,1607,3,-1,-1,White
1952,1611,0,1,-2,White
1893,1725,2,0,0,White
1702,1781,3,1,1,Black
1782,1792,-1,1,0,White
2215,2191,-3,-2,0,White
2215,2147,-7,0,0,White
1803,2215,5,0,0,Black
2200,1810,-3,0,-1,White
2189,2167,1,0,1,Black
2003,2098,5,2,0,Black
1124,1118,0,1,-1,Black
1762,1803,-1,-2,-1,White
1725,1752,5,-1,1,Black
1843,1761,4,1,1,Black
1339,1243,6,0,0,Black
1339,1328,1,0,0,Black
1303,1281,-2,0,-1,White
1295,1181,-1,0,-1,White
1637,1212,3,-2,-2,White
1569,1627,-1,0,6,Black
1555,1627,1,-1,1,Black
2132,1971,1,-2,-2,White
1962,2142,-2,-1,0,White
1972,2259,1,2,2,Black
1333,1369,-3,0,1,Black
1496,1516,0,3,-4,White
1553,1507,0,0,-1,Black
1489,1506,2,2,0,Black
1320,1400,2,0,1,Black
1938,1979,-2,0,0,Black
1916,1908,4,-1,0,Black
1918,1787,2,2,-1,Draw
1823,1913,2,0,1,Black
1909,1986,0,-3,0,White
1974,1897,0,1,1,Black
2229,1910,0,2,3,Black
1926,1718,4,0,2,Black
1569,1411,3,-2,-2,White
2477,2249,2,0,1,Black
2048,2473,-1,3,0,Black
2470,2007,-1,0,-2,White
2467,2010,0,0,1,White
2377,2492,1,-1,-1,White
2528,2065,2,0,0,Black
2043,2526,2,4,0,Black
2526,1216,-3,0,-2,White
2154,2521,-2,-1,1,Black
1783,1582,0,0,0,Black
1889,1857,-4,-1,0,White
2071,2276,3,3,0,Black
2246,2145,1,0,-2,White
2225,2015,-5,1,0,White
2219,2039,-4,0,-1,White
2214,2030,-1,0,-2,White
2207,2039,-10,2,-1,White
2202,2050,-5,-2,0,White
2195,2050,-2,-1,-2,White
2081,2210,0,-1,-2,White
2204,2029,0,-2,-2,White
1848,1889,3,0,1,Black
1868,1915,-1,-1,-2,White
1805,1872,0,0,1,Black
1809,1732,0,-1,-2,White
1586,1632,5,0,2,Black
1631,1519,-1,0,1,Black
1450,1391,-1,-1,0,Black
1537,1512,2,0,2,Black
1550,1540,-2,2,-2,White
1634,1561,3,-1,-2,White
1627,1586,-3,-2,4,White
1614,1589,0,-2,0,White
1982,1842,-5,0,0,White
1393,1500,2,2,0,Black
1899,1902,0,1,0,Black
1883,1908,1,0,-1,White
1902,1915,-4,0,-2,White
1895,1916,1,1,1,White
1888,1936,-3,3,-1,White
1780,1907,-2,-2,-1,White
1638,1653,-1,1,0,White
1646,1658,3,-1,-1,White
1564,1646,-2,0,-1,White
1640,1665,2,1,1,White
1651,1655,-1,0,1,Black
1623,1645,1,1,1,Black
1639,1636,1,-2,-1,White
1042,964,2,1,1,Black
867,955,4,1,1,Black
1499,956,1,-2,0,White
957,1503,1,-2,2,Black
967,1018,-6,0,0,Black
968,1860,3,0,-1,Black
1067,963,1,1,1,Black
1459,923,-1,-1,-1,White
1772,1343,-2,-1,-1,White
1505,1723,0,0,3,Black
1441,1471,-3,0,-1,White
1894,2010,6,-1,1,Black
2084,2169,-1,-1,0,Black
2067,2160,2,1,1,Black
1596,1724,-2,0,1,Black
1917,1903,0,0,1,Black
1945,2093,-1,1,-3,White
1776,1728,-2,1,-1,White
1156,1126,2,0,1,White
2035,2008,0,0,3,Black
2047,1975,2,2,1,Black
1675,1696,0,-1,0,Black
1500,1495,-1,1,-2,White
1490,1470,-5,0,-1,White
1269,1485,3,-3,3,Black
1527,1525,-2,6,1,Black
1516,1561,-5,0,-1,White
2198,2339,2,-2,-3,White
2197,2189,1,0,-1,White
2207,2211,2,4,-2,Black
2182,2255,1,0,-2,White
1497,1597,3,2,0,Black
1602,1603,-1,1,0,White
1828,1749,2,0,-2,White
1810,1831,-1,0,-2,White
1795,1860,0,-1,-2,White
1819,1851,-2,0,-1,White
1570,1532,3,-2,-1,White
1274,1330,1,2,-1,White
1877,1780,-1,-1,-1,White
1870,1795,-2,-4,0,White
1811,1897,-3,2,2,Black
1867,1788,4,0,1,Black
1807,1846,1,-1,1,Black
1891,1777,2,0,1,Black
1746,1842,-4,-3,0,White
1702,2046,-2,1,-1,White
1711,1982,3,1,0,Black
1236,1803,-2,2,1,Black
1500,1517,0,0,-2,White
1631,1694,0,0,-1,White
1401,1689,-4,0,-1,White
1689,2006,-4,1,1,Black
1470,1573,1,0,0,White
1851,1795,-1,-3,4,Black
1312,1373,1,-2,-1,White
929,1130,6,0,0,Black
1197,983,2,-3,0,White
989,1183,4,1,0,Black
1205,1023,1,0,0,White
1306,930,-1,-1,0,White
1575,1928,4,1,0,Black
1830,1928,2,0,0,Black
1986,1928,0,1,1,Black
1806,2020,-2,0,2,Black
1543,1808,-1,0,3,Black
1655,1681,2,0,1,Black
1709,1677,-2,0,3,Black
1714,1720,-1,-1,-2,White
1708,1708,1,2,0,Black
1695,1730,-1,-2,-1,White
1640,1684,0,-1,2,Black
1523,1699,7,1,1,Black
1551,1505,-1,2,0,Black
2236,2135,1,-1,2,Black
2223,2209,-3,-1,-2,White
1575,2209,3,1,2,Black
2226,2116,2,2,1,Black
2124,2216,1,2,1,Black
2205,2114,1,-1,-1,White
2247,2218,1,-1,0,White
2120,2248,-1,-1,-1,White
1876,1825,-2,1,1,White
2105,1841,5,-1,0,Black
1236,1189,0,0,-1,White
1600,1614,2,-1,-1,Black
1165,1169,-1,-1,-1,White
1839,1718,-3,0,-2,White
1500,1517,1,0,-3,White
1789,1913,-1,0,-1,White
1819,1625,5,1,1,Black
1941,1578,0,1,1,Draw
1726,1556,3,0,1,Black
1789,2196,-1,-2,0,White
1475,1476,3,-2,0,White
1814,1835,-3,0,2,Black
1814,1785,1,1,0,White
1520,1428,3,0,-1,White
1446,1533,-2,1,-3,White
1568,1554,-1,0,2,Black
1603,1569,4,-1,-1,White
1793,1782,-4,3,-2,Black
1081,1119,0,0,1,Black
1625,1567,-2,-3,0,White
1744,1704,-1,0,-2,Draw
1756,1750,-2,-1,1,Black
1745,1733,-1,-2,-1,White
1719,1734,1,-1,1,Black
1743,1813,1,-1,2,Black
1798,1998,0,0,2,Black
1615,1803,-2,-1,0,White
1603,1661,1,-1,-1,White
1446,1521,-3,-1,1,Black
1442,1739,3,0,1,Black
1454,1368,-2,3,-1,Draw
1459,1692,2,2,1,Black
1431,1423,0,-1,-2,White
1418,1438,-3,2,0,White
2065,2193,0,-3,0,White
2188,1911,0,-2,-1,White
2209,1886,1,-3,-1,White
2198,1961,1,0,-2,White
1879,2081,-4,-4,0,White
1556,1466,0,1,0,White
1518,1518,0,-3,2,White
2033,1815,5,-1,1,Black
2053,2094,0,0,2,Black
2221,2395,3,1,0,Black
1778,1500,2,0,1,White
1720,1898,0,0,0,Black
1522,1627,-2,0,-1,White
1685,1786,-1,-1,-1,White
1792,1766,3,0,2,Black
1805,1753,1,0,1,Black
2005,1518,-3,0,-1,White
1711,1701,0,1,-1,Black
1681,1704,-1,-3,-1,White
1697,1676,1,-1,0,Draw
1365,1518,-1,-1,1,White
1515,1578,0,-1,-1,White
2039,1838,0,1,-1,White
1567,1573,0,-1,-1,White
1530,1554,0,-3,3,Black
1539,1556,-6,0,1,White
1568,1553,0,-1,-2,White
1553,1138,-5,1,-1,White
1469,1540,0,2,1,Black
1821,2236,1,0,1,Black
2225,2015,-2,-1,-2,White
1843,2220,2,2,1,Black
1936,2236,2,0,1,Black
2209,2030,-2,0,0,White
1428,1368,1,1,-3,White
1419,1336,-6,1,-1,White
1124,1438,0,-4,1,White
1980,1883,1,-2,2,Black
