White Rating,Black Rating,accdiff,misdiff,blundiff,Winner
2296,2283,-1,0,-2,White
995,1320,0,2,1,Black
1343,1004,0,0,-1,White
909,1081,-6,0,0,White
1302,1198,0,-2,-1,White
1874,1795,0,-1,1,Black
1916,1868,1,1,0,Black
1872,1874,0,-1,0,White
1879,1897,6,0,-3,Black
1873,1906,-2,-1,-1,White
1878,1904,0,0,1,Black
1878,1885,3,1,-2,Draw
1874,1891,-3,0,-1,White
1887,1897,5,-1,-2,White
1716,1804,1,1,-2,White
1677,2131,-1,0,2,Black
1308,1584,2,0,1,Black
1504,1500,2,1,1,Black
1526,1510,1,0,1,White
1435,1429,-4,1,-1,White
2036,1744,-1,0,-2,White
2082,1500,-7,0,0,White
1903,1921,0,2,-1,White
1915,1948,0,0,-1,White
1899,1904,-3,0,-1,White
1701,1622,5,2,1,Black
1492,1479,-4,2,-2,White
1503,1515,-1,-2,-1,White
1630,1564,3,2,-4,White
1526,1507,1,0,0,White
1556,1426,1,0,-1,White
1627,1626,1,-4,0,White
1601,1601,0,-2,-2,White
1747,1512,3,3,0,Black
1501,1652,0,0,-2,White
1759,1482,3,1,1,Black
1897,1630,-4,-1,-1,White
1907,1932,0,2,1,Black
1851,2024,3,0,-2,White
1656,1846,0,1,1,Black
1833,1928,-1,0,-2,White
1951,1818,0,0,1,Black
1634,1903,1,0,2,Black
1521,1636,1,0,1,Black
1496,1570,0,0,-1,White
1939,1924,3,3,1,Black
1838,1903,-1,1,0,Black
1749,2358,2,1,1,Black
2346,2268,-9,2,0,White
1734,2345,3,-1,2,Black
2336,2190,-1,-2,-1,White
2317,2314,-1,0,2,Black
1242,1279,-1,-2,2,Black
2275,2089,-1,0,-1,White
2037,2272,3,-2,2,Black
2268,2057,-1,1,-2,White
2027,2265,0,-2,2,Black
2103,2274,-1,3,-3,White
2026,2270,4,-1,1,Black
2083,2266,0,0,0,Black
2262,2041,1,-1,-1,White
2280,2254,6,-4,4,Black
1843,1832,0,-1,-3,White
1570,1357,1,0,-1,White
1376,1676,3,0,2,Black
1591,1592,-3,3,0,Black
1606,1442,-1,0,2,Black
1605,1480,1,2,1,Black
1620,1462,1,0,2,Black
2138,2194,0,0,1,Black
1669,1711,3,-2,1,Black
1654,1708,2,1,1,Black
1648,1661,-4,-2,-1,White
1797,1895,1,3,-1,Black
1875,1919,-1,-3,0,White
1854,1881,1,0,0,White
1811,1816,1,1,0,White
1866,2198,-1,1,2,Black
1681,1629,1,3,-2,White
2198,1602,3,3,0,Black
1514,1580,2,0,1,Black
1558,1931,-1,-1,-1,White
2248,1534,2,1,2,Black
2109,1511,1,0,1,Black
1489,1951,-2,-2,-1,White
1713,1471,4,2,0,Black
1482,1392,8,-1,0,Black
1532,1683,-1,0,-1,White
1669,1783,-3,3,-1,White
1678,1712,3,0,1,Black
1747,1683,5,0,-3,White
2376,2281,0,0,0,Draw
2401,2568,3,0,1,Black
2325,2353,2,0,-2,Black
2161,2319,-1,2,1,Black
2266,2181,0,-1,0,White
1704,1744,0,0,0,White
1418,1169,-3,-1,-1,Black
1638,1962,0,1,2,Black
1355,1555,-1,1,1,Black
1437,1538,3,-1,1,Black
1558,1508,-1,2,1,Black
1542,1509,0,-1,-2,White
1295,1571,-5,0,1,White
1687,1583,-3,1,-2,White
1604,1522,-3,1,1,Black
1603,1622,1,-2,-2,White
1443,1612,2,-1,1,Black
1464,1599,0,1,2,Black
1842,1868,-1,2,2,Black
1888,1897,4,1,0,Black
1231,1609,2,1,1,Black
1236,1537,1,1,1,Black
1753,1238,-1,1,1,White
1242,1772,-1,3,2,Black
1250,1208,-1,0,1,Black
1254,1588,-1,4,0,Black
1390,1264,-1,2,-1,White
1645,1577,0,2,2,Black
1500,1500,-5,-1,-1,White
1863,1834,2,-1,0,Black
1928,1899,0,1,0,Black
1928,1911,2,-1,1,Black
1427,1592,1,0,0,White
1562,1586,1,1,1,Black
1579,1547,-3,-1,-1,White
1513,1573,2,0,1,Black
1783,2010,0,2,0,Black
1827,1814,3,3,1,Black
1805,1838,-2,-1,-2,White
1821,1833,-1,-2,1,Black
1400,1440,-1,3,-3,White
2016,1922,-1,1,1,Black
2242,2021,0,0,-1,White
2028,2179,1,1,1,Black
1852,2045,4,-2,-1,White
2436,2494,4,1,1,Black
2486,2441,0,-1,-1,White
2224,2438,0,1,1,Black
2333,2434,4,-1,2,Black
2319,2441,-2,0,-2,White
2437,2323,2,-4,-1,White
2267,2444,0,0,-2,White
2333,2440,-3,2,1,Black
2442,2331,2,-1,0,Draw
2240,2439,3,0,1,Black
2027,1677,3,0,0,Black
1909,1681,-1,0,-2,White
1687,1779,-1,1,1,Black
1577,1501,-2,-1,2,Black
1547,1595,-3,2,-2,White
1664,1384,-1,-1,-1,White
1369,1418,5,-1,0,White
1849,1884,0,0,-1,White
1396,1398,1,0,0,Black
1562,1392,-2,-2,-1,White
1618,2144,-7,1,0,White
1897,2137,0,0,1,Black
2137,1687,1,1,-4,White
1879,1851,-1,-2,2,Black
2089,1884,-1,-1,-1,White
2058,1891,-2,2,0,White
1732,1985,1,1,0,Black
1747,1961,0,0,2,Black
1935,1614,2,0,-3,White
1836,1983,2,3,0,Black
1972,1998,-6,-1,0,White
2011,1960,4,1,0,Black
1756,1955,2,2,1,Black
1945,1942,0,-1,-1,White
1916,1935,5,0,0,Black
1714,1930,5,0,0,Black
1922,1816,-3,0,-1,White
1802,1914,3,1,2,Black
1641,1628,-1,0,-2,White
1453,1442,-3,-1,-1,White
1108,1220,-5,4,4,Black
1726,1605,3,1,1,Black
1483,1588,-2,1,1,Black
1579,1570,-4,-2,1,White
1589,1829,0,-3,0,Black
1823,1661,-5,1,-1,White
1312,1228,-1,3,-4,White
1258,1283,0,2,2,White
1306,1293,2,-1,0,White
1476,1480,-1,0,-1,White
1481,1484,-3,2,1,Black
1919,1610,-4,-1,-1,White
1536,1463,3,0,-2,Black
1531,1472,-3,1,-1,White
1402,1459,0,1,0,White
1695,1410,-1,1,2,Black
1576,1650,-2,0,-1,White
1806,1612,-1,1,-1,White
